frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,DNP3 Object Count,DNP3 Objects,attack_type
206,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,192,0x00004000,20000,38491,152,0x00000018,0,0.001397,0,0,0,0,,51:00.9,390,1,121,0x00000044,0x000000c0,129,0x000000cd,32,255,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,55493,20000,18,0x00000018,0,-1,14,2,40,0,,51:01.1,399,1,73,0x00000044,0x000000c0,129,0x000000cc,16,15,0
225,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,211,0x00004000,20000,55493,171,0x00000018,0,0.001015,0,0,0,0,,51:05.7,968,1,160,0x00000044,0x000000c0,129,0x000000c7,42,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,00:50:56:9c:9d:70,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:06.2,560,1,28,0x00000044,0x000000c0,129,0x000000ca,1,3,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,00:00:00:aa:00:22,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:13.7,601,1,201,0x00000044,0x000000c0,129,0x000000c9,55,2,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,11,2,33,0,,51:14.5,1200,1,208,0x00000044,0x000000c0,129,0x000000c6,58,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,56515,20000,18,0x00000018,0,-1,0,0,0,0,,51:15.0,631,1,131,0x00000044,0x000000c0,129,0x000000c8,33,0,0
253,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,239,0x00004000,20000,56515,199,0x00000018,0,0.001185,0,0,0,0,,51:18.0,560,1,148,0x00000044,0x000000c0,129,0x000000cb,38,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,5,1,15,0,,51:23.7,1195,1,172,0x00000044,0x000000c0,129,0x000000c7,46,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:24.8,456,1,109,0x00000044,0x000000c0,129,0x000000cc,28,127,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,55909,20000,18,0x00000018,0,-1,0,0,0,0,,51:26.2,493,1,133,0x00000044,0x000000c0,129,0x000000cb,36,511,0
182,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,168,0x00004000,20000,55909,128,0x00000018,0,0.002092,0,0,0,0,,51:31.0,390,1,121,0x00000044,0x000000c0,129,0x000000ce,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:31.2,399,1,73,0x00000044,0x000000c0,129,0x000000cd,16,15,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:35.9,968,1,160,0x00000044,0x000000c0,129,0x000000c8,42,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,36503,20000,18,0x00000018,0,-1,5,1,15,0,,51:43.9,601,1,201,0x00000044,0x000000c0,129,0x000000ca,55,2,0
208,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,194,0x00004000,20000,36503,154,0x00000018,0,0.001073,0,0,0,0,,51:44.7,1200,1,208,0x00000044,0x000000c0,129,0x000000c7,58,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:45.2,631,1,131,0x00000044,0x000000c0,129,0x000000c9,33,0,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,00:00:00:aa:00:22,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,10,2,30,0,,51:48.1,560,1,148,0x00000044,0x000000c0,129,0x000000cc,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,52851,20000,18,0x00000018,0,-1,0,0,0,0,,51:53.8,1195,1,172,0x00000044,0x000000c0,129,0x000000c8,46,1,0
196,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,182,0x00004000,20000,52851,142,0x00000018,0,0.001082,0,0,0,0,,51:55.0,456,1,109,0x00000044,0x000000c0,129,0x000000cd,28,127,0
60,eth:ethertype:arp,00:00:00:aa:00:22,00:50:56:9c:9d:70,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,51:56.3,493,1,133,0x00000044,0x000000c0,129,0x000000cc,36,511,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,43991,20000,18,0x00000018,0,-1,0,0,0,0,,52:01.2,390,1,121,0x00000044,0x000000c0,129,0x000000cf,32,255,0
142,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,128,0x00004000,20000,43991,88,0x00000018,0,0.001256,0,0,0,0,,52:01.4,399,1,73,0x00000044,0x000000c0,129,0x000000ce,16,15,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,49701,20000,18,0x00000018,0,-1,8,2,24,0,,52:06.0,968,1,160,0x00000044,0x000000c0,129,0x000000c9,42,1,0
239,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,225,0x00004000,20000,49701,185,0x00000018,0,0.002076,0,0,0,0,,52:14.0,601,1,201,0x00000044,0x000000c0,129,0x000000cb,55,2,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,8,2,24,0,,52:14.8,1200,1,208,0x00000044,0x000000c0,129,0x000000c8,58,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,52:15.4,631,1,131,0x00000044,0x000000c0,129,0x000000ca,33,0,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,4,1,12,0,,52:18.3,560,1,148,0x00000044,0x000000c0,129,0x000000cd,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,41391,20000,18,0x00000018,0,-1,12,2,36,0,,52:24.0,1195,1,172,0x00000044,0x000000c0,129,0x000000c9,46,1,0
286,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,272,0x00004000,20000,41391,232,0x00000018,0,0.001182,0,0,0,0,,52:25.1,456,1,109,0x00000044,0x000000c0,129,0x000000ce,28,127,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,57733,20000,18,0x00000018,0,-1,0,0,0,0,,52:26.5,493,1,133,0x00000044,0x000000c0,129,0x000000cd,36,511,0
293,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,279,0x00004000,20000,57733,239,0x00000018,0,0.001271,0,0,0,0,,52:31.3,390,1,121,0x00000044,0x000000c0,129,0x000000c0,32,255,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,38491,20000,18,0x00000018,0,-1,0,0,0,0,,52:31.5,399,1,73,0x00000044,0x000000c0,129,0x000000cf,16,15,0
206,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,192,0x00004000,20000,38491,152,0x00000018,0,0.001297,0,0,0,0,,52:36.2,968,1,160,0x00000044,0x000000c0,129,0x000000ca,42,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,55493,20000,18,0x00000018,0,-1,12,2,36,0,,52:44.2,601,1,201,0x00000044,0x000000c0,129,0x000000cc,55,2,0
225,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,211,0x00004000,20000,55493,171,0x00000018,0,0.001187,0,0,0,0,,52:45.0,1200,1,208,0x00000044,0x000000c0,129,0x000000c9,58,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,00:50:56:9c:9d:70,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,52:45.5,631,1,131,0x00000044,0x000000c0,129,0x000000cb,33,0,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,00:00:00:aa:00:22,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,52:48.4,560,1,148,0x00000044,0x000000c0,129,0x000000ce,38,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,11,2,33,0,,52:51.7,560,1,28,0x00000044,0x000000c0,129,0x000000cf,1,4,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,56515,20000,18,0x00000018,0,-1,0,0,0,0,,52:54.1,1195,1,172,0x00000044,0x000000c0,129,0x000000ca,46,1,0
253,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,239,0x00004000,20000,56515,199,0x00000018,0,0.001347,0,0,0,0,,52:55.3,456,1,109,0x00000044,0x000000c0,129,0x000000cf,28,127,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,5,1,15,0,,52:56.6,493,1,133,0x00000044,0x000000c0,129,0x000000ce,36,511,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,55909,20000,18,0x00000018,0,-1,0,0,0,0,,53:00.8,560,1,28,0x00000044,0x000000c0,129,0x000000c0,1,3,0
182,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,168,0x00004000,20000,55909,128,0x00000018,0,0.001377,0,0,0,0,,53:01.5,390,1,121,0x00000044,0x000000c0,129,0x000000c1,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:01.7,399,1,73,0x00000044,0x000000c0,129,0x000000c0,16,15,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,36503,20000,18,0x00000018,0,-1,5,1,15,0,,53:06.3,968,1,160,0x00000044,0x000000c0,129,0x000000cb,42,1,0
208,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,194,0x00004000,20000,36503,154,0x00000018,0,0.001279,0,0,0,0,,53:14.3,601,1,201,0x00000044,0x000000c0,129,0x000000cd,55,2,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:15.1,1200,1,208,0x00000044,0x000000c0,129,0x000000ca,58,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,5,1,15,0,,53:15.7,631,1,131,0x00000044,0x000000c0,129,0x000000cc,33,0,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:18.6,560,1,148,0x00000044,0x000000c0,129,0x000000c1,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,52851,20000,18,0x00000018,0,-1,5,1,15,0,,53:24.3,1195,1,172,0x00000044,0x000000c0,129,0x000000cb,46,1,0
196,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,182,0x00004000,20000,52851,142,0x00000018,0,0.001312,0,0,0,0,,53:25.4,456,1,109,0x00000044,0x000000c0,129,0x000000c0,28,127,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,43991,20000,18,0x00000018,0,-1,0,0,0,0,,53:26.8,493,1,133,0x00000044,0x000000c0,129,0x000000cf,36,511,0
142,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,128,0x00004000,20000,43991,88,0x00000018,0,0.001396,0,0,0,0,,53:31.6,390,1,121,0x00000044,0x000000c0,129,0x000000c2,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,8,2,24,0,,53:31.8,399,1,73,0x00000044,0x000000c0,129,0x000000c1,16,15,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:36.5,968,1,160,0x00000044,0x000000c0,129,0x000000cc,42,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,49701,20000,18,0x00000018,0,-1,4,1,12,0,,53:44.5,601,1,201,0x00000044,0x000000c0,129,0x000000ce,55,2,0
239,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,225,0x00004000,20000,49701,185,0x00000018,0,0.000682,0,0,0,0,,53:45.3,1200,1,208,0x00000044,0x000000c0,129,0x000000cb,58,1,0
89,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,75,0x00004000,55493,20000,35,0x00000018,0,-1,0,0,0,0,,53:45.8,631,1,131,0x00000044,0x000000c0,129,0x000000cd,33,0,0
91,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,77,0x00004000,20000,55493,37,0x00000018,0,0.000738,0,0,0,0,,53:48.7,560,1,148,0x00000044,0x000000c0,129,0x000000c2,38,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:54.4,1195,1,172,0x00000044,0x000000c0,129,0x000000cc,46,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,53:55.6,456,1,109,0x00000044,0x000000c0,129,0x000000c1,28,127,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,4,1,12,0,,53:56.9,493,1,133,0x00000044,0x000000c0,129,0x000000c0,36,511,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,54:01.8,390,1,121,0x00000044,0x000000c0,129,0x000000c3,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,4,1,12,0,,54:02.0,399,1,73,0x00000044,0x000000c0,129,0x000000c2,16,15,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,6,1,12,0,,54:06.6,968,1,160,0x00000044,0x000000c0,129,0x000000cd,42,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,6,1,18,0,,54:07.6,631,1,28,0x00000044,0x000000c0,129,0x000000ce,1,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,54:14.6,601,1,201,0x00000044,0x000000c0,129,0x000000cf,55,2,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,41391,20000,18,0x00000018,0,-1,6,1,18,0,,54:15.5,1200,1,208,0x00000044,0x000000c0,129,0x000000cc,58,1,0
286,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,272,0x00004000,20000,41391,232,0x00000018,0,0.000467,0,0,0,0,,54:16.0,631,1,131,0x00000044,0x000000c0,129,0x000000cf,33,0,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,54:18.9,560,1,148,0x00000044,0x000000c0,129,0x000000c3,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,57733,20000,18,0x00000018,0,-1,0,0,0,0,,54:24.6,1195,1,172,0x00000044,0x000000c0,129,0x000000cd,46,1,0
293,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,279,0x00004000,20000,57733,239,0x00000018,0,0.000595,0,0,0,0,,54:25.8,456,1,109,0x00000044,0x000000c0,129,0x000000c2,28,127,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,38491,20000,18,0x00000018,0,-1,0,0,0,0,,54:27.1,493,1,133,0x00000044,0x000000c0,129,0x000000c1,36,511,0
206,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,192,0x00004000,20000,38491,152,0x00000018,0,0.000425,0,0,0,0,,54:31.9,390,1,121,0x00000044,0x000000c0,129,0x000000c4,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,6,1,18,0,,54:32.1,399,1,73,0x00000044,0x000000c0,129,0x000000c3,16,15,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,54:36.8,968,1,160,0x00000044,0x000000c0,129,0x000000ce,42,1,0
